Autor,Título,Área do Conhecimento,Tipo Documento,Unidade,Ano,Link
"Villela, Renata Rocha",Partidos políticos e controle de constitucionalidade: o uso estratégico das ações...,Direito do Estado,Tese de Doutorado,Faculdade de Direito,2019,https://www.teses.usp.br/teses/disponiveis/2/2134/tde-07082020-143927/?&lang=pt-br
"Villela, Renata Rocha",Partidos políticos e regulamentação: limites e benefícios da legislação partidária...,Direito do Estado,Dissertação de Mestrado,Faculdade de Direito,2014,http://www.teses.usp.br/teses/disponiveis/2/2134/tde-20012015-135440/?&lang=pt-br
"Viol, Graziela Prates",A garantia da educação básica de qualidade e os possíveis instrumentos jurídicos...,Direito do Estado,Dissertação de Mestrado,Faculdade de Direito,2020,https://www.teses.usp.br/teses/disponiveis/2/2134/tde-06052021-021842/?&lang=pt-br
"Vojvodic, Adriana de Moraes",Precedentes e argumentação no Supremo Tribunal Federal: entre a vinculação ao passado...,Direito do Estado,Tese de Doutorado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2134/tde-27092012-094000/?&lang=pt-br
"Wang, Daniel Wei Liang",Poder Judiciário e participação democrática nas políticas públicas de saúde,Direito do Estado,Dissertação de Mestrado,Faculdade de Direito,2009,http://www.teses.usp.br/teses/disponiveis/2/2134/tde-21062011-134507/?&lang=pt-br
"Welge, Tatiana Michele Marazzi",Moralidade administrativa: o agente público na democracia do novo milênio,Direito do Estado,Tese de Doutorado,Faculdade de Direito,2015,http://www.teses.usp.br/teses/disponiveis/2/2134/tde-01032016-130457/?&lang=pt-br
"Xavier, Marina Corrêa",O Supremo Tribunal Federal e os limites à interpretação conforme a constituição,Direito do Estado,Dissertação de Mestrado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2134/tde-06022014-112744/?&lang=pt-br
"Ximenes, Salomão Barros",Padrão de qualidade do ensino: desafios institucionais e bases para a construção...,Direito do Estado,Tese de Doutorado,Faculdade de Direito,2014,http://www.teses.usp.br/teses/disponiveis/2/2134/tde-22052015-090529/?&lang=pt-br
"Zago, Mariana Augusta dos Santos",Federalismo no Brasil e na Alemanha: estudo comparativo de repartição de competências...,Direito do Estado,Tese de Doutorado,Faculdade de Direito,2016,http://www.teses.usp.br/teses/disponiveis/2/2134/tde-04102016-181431/?&lang=pt-br
"Zago, Marina Fontão",Poder de compra estatal para a Implementação de políticas públicas: o uso derivado...,Direito do Estado,Tese de Doutorado,Faculdade de Direito,2017,https://www.teses.usp.br/teses/disponiveis/2/2134/tde-13112020-173328/?&lang=pt-br
"Zimmer, Lauro Cavallazzi",Sistema constitucional do estado de exceção,Direito do Estado,Dissertação de Mestrado,Faculdade de Direito,2018,https://www.teses.usp.br/teses/disponiveis/2/2134/tde-15102020-234425/?&lang=pt-br
"Zylbersztajn, Joana",O princípio da laicidade na Constituição Federal de 1988,Direito do Estado,Tese de Doutorado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2134/tde-11102012-111708/?&lang=pt-br
"Abe, Maria Inês Miya","Franchising, tercerização e grupo econômico: a responsabilidade solidária como instrumento...",Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2011,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-14052012-163149/?&lang=pt-br
"Almeida, Almiro Eduardo de",Empregador: a participação da classe dominante na construção do Direito do Trabalho...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2017,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-15032021-191613/?&lang=pt-br
"Almeida, Victor Hugo de",Consumo e trabalho: impactos no meio ambiente do trabalho e na saúde do trabalha...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-02082017-152602/?&lang=pt-br
"Alves, André Luiz Ferreira",Proteção e desproteção do trabalhador imigrante no Brasil,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2017,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-17122020-232605/?&lang=pt-br
"Alves, Marcos César Amador",Conteúdo jurídico da cláusula trabalhista nos contratos públicos e a afirmação dos...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2014,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-22052015-103104/?&lang=pt-br
"Alves, Rejane de Barros Meireles",Escravidão por dívidas nas relações de trabalho rural no Brasil contemporâneo: forma...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2009,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-11112011-110351/?&lang=pt-br
